Y,X
1,0.538299208
1,1.172057056
1,1.846670346
1,2.35966591
1,2.768138752
1,3.054661999
1,3.07392587
1,3.090071847
1,3.220066088
1,3.352267795
1,3.533522474
1,3.95849645
1,4.438520414
1,5.004379349
1,5.590350845
1,6.186063813
1,6.632212154
2,6.888467118
2,7.006754387
2,7.141250473
2,7.2556434
3,7.39539847
3,7.707987379
4,8.114877718
5,8.747101845
5,8.803907205
5,9.332957301
7,9.871647414
7,9.910033566
7,10.22532278
9,10.36495039
12,10.46984077
12,11.17800874
12,11.94222139
12,12.12272895
12,12.48942892
12,12.7693774
12,13.23459388
12,13.8121986
12,14.17377929
13,14.58456787
14,14.60805095
14,14.77312622
14,14.91311806
14,15.5080463
14,16.16992493
14,16.18274686
16,16.37585618
16,16.76470415
16,17.44869117
17,18.14262795
17,18.81407475
17,19.37572738
17,19.6521211
17,19.8887388
17,19.99931986
18,20.10584229
18,20.20917006
18,20.38199134
18,20.65079165
18,21.05789244
19,21.66224546
20,22.34905009
20,22.71513539
20,22.98273939
20,23.23920652
21,23.36436915
21,24.20714449
22,24.33665348
22,24.53387512
22,24.68351669
23,24.98226616
24,25.0248576
24,25.07311765
25,25.50281415
25,25.78993023
27,26.06325202
27,26.26711861
27,26.39283967
27,27.30446736
28,28.25345458
28,28.38864703
28,28.59072496
28,28.87353787
30,29.35977778
31,29.83994165
31,30.21660548
32,30.5995239
32,30.85773709
33,31.00683749
33,31.70906911
33,32.28220727
33,33.05795397
33,33.86743569
33,34.61839317
33,34.74668324
35,35.04627886
35,35.48062826
36,35.90553457
37,36.24296792
37,36.54385756
38,36.68215752
41,37.31836629
42,37.74964319
42,38.18792419
42,38.56993363
42,39.12781653
42,39.23841757
42,39.45983784
42,39.80881791
42,40.26998643
43,40.57569074
43,40.88018231
43,41.10349289
44,41.71716188
44,42.23347786
44,42.58737997
44,43.29605329
44,44.28895797
44,45.00584469
44,45.32112115
44,45.77188261
45,46.25866201
45,46.55546095
45,46.57964065
46,46.71015136
46,47.57294549
47,48.12949313
47,49.01046226
47,49.847228
47,49.95435387
47,50.18006878
47,50.51243694
49,51.07577988
49,51.67829645
51,52.26151052
52,52.55895838
52,52.72720134
54,53.18136706
54,53.1852024
55,53.49086642
57,53.89375448
58,54.58126072
60,54.84780688
61,55.15058072
62,55.61051303
62,56.15117572
62,56.50803782
62,56.86376832
62,57.01365142
63,57.13250803
63,57.5469385
64,57.56005701
65,57.70594708
65,57.72605527
67,57.95747109
67,58.36966002
68,58.97077297
71,59.47179972
72,59.52167457
72,59.89511354
73,59.91591104
74,60.07030563
75,60.19467055
76,60.31067841
76,60.42729244
78,60.54637936
78,60.69092439
78,60.73406951
81,61.32482419
82,61.39163858
85,61.94412862
89,62.4482677
89,62.71257748
91,62.82041059
92,62.90289859
95,63.6508595
97,64.65020734
99,65.56957995
99,66.55611168
99,66.87308029
101,67.33483749
103,67.37933185
103,67.71843994
103,67.95529928
104,68.06876447
106,68.43293826
106,68.83165019
107,69.20664479
109,69.72755526
110,69.87942704
111,70.16445859
111,70.67171135
112,71.3190686
112,71.8934681
112,72.33785017
112,72.37864542
114,72.60876166
114,72.73275578
115,72.9172877
115,73.12007505
116,73.29919648
117,73.57791596
118,73.97040624
119,74.43285773
122,75.07223649
124,75.73487342
124,76.29471977
127,76.68866177
130,76.83862846
130,77.67792118
132,77.78587683
132,77.92038516
133,78.04066106
133,78.19367598
134,78.22266605
137,78.6796525
138,79.33377079
139,80.04127522
140,80.69085056
141,81.25525626
146,81.61629118
149,81.9272188
150,82.14721751
152,82.31914893
152,82.50772399
152,82.73424222
152,83.13953075
152,83.68146699
155,84.41967915
155,85.09726984
158,85.68809283
159,86.24698303
163,86.56968939
166,86.59435267
167,86.81768689
170,86.84071328
174,87.05358425
176,87.27163735
180,87.6115981
181,88.09589008
185,88.66983617
190,89.29719782
191,89.94904068
194,90.44715447
195,90.82869361
198,91.11015374
198,91.35777757
201,91.58644735
201,91.7942144
201,92.01813068
201,92.40502871
201,92.92534945
204,92.9776219
215,93.56204148
216,94.09993418
216,94.70048699
216,95.20129727
216,95.6191266
219,95.65180635
220,95.96244092
225,96.24956218
227,96.55006954
230,96.91021337
230,96.96406278
231,97.02623407
234,97.58287254
238,98.03514859
238,98.44505663
239,98.4775949
240,98.80248108
241,99.03589606
242,99.24779339
246,99.46776817
247,99.697574
248,100.0170571
249,100.0599585
253,100.5881532
255,101.049483
256,101.3179377
256,101.5295029
259,101.744984
261,102.0018934
262,102.0253719
264,102.2541264
265,102.4288107
267,102.5993428
267,102.7466653
270,102.9681659
273,103.1871303
274,103.1873784
275,103.4191738
275,103.6559329
275,103.9231767
276,104.1914802
277,104.421303
277,104.640075
278,104.8549365
280,105.0495809
281,105.2352142
283,105.4597394
283,105.6985704
284,105.9403218
286,105.9643999
288,106.1706323
291,106.3829547
291,106.5488895
291,106.7147485
293,106.8877384
295,107.0675479
295,107.0838359
296,107.2614727
301,107.473932
303,107.6931829
